Timestamp,What region do you attend university,What is your field of study?,What academic level are you at?,What is your gender?,"How many AI tools do you use regularly? (ChatGPT, Gemini, Claude, Copilot, etc.)",How many hours per day do you spend using AI tools?,For which academic tasks do you use AI? (select all that apply),How often do you verify what an AI tool tells you before using it?,How confident are you completing academic tasks without AI?,Have you submitted AI-generated content as your own work without major edits?,Do you feel anxious or stuck when AI tools are unavailable?,How much do you trust AI output without checking the source?,How well do you understand the limitations of AI tools?,Has your university given any guidance on responsible AI use?
2025-01-16 01:04:00,Buea,Engineering,200L,Male,2,Less than 1hr,Research,3,1,Once or twice,3,3,4,no
2025-01-16 01:51:00,Other,Sciences,200L,Male,4 or more,5hrs or more,Exam prep,5,3,Once or twice,4,3,2,not sure
2025-01-16 02:38:00,Other,Sciences,PhD,Female,2,5hrs or more,Research,5,2,Never,3,2,2,yes
2025-01-16 03:25:00,Douala,Social Sciences,100L,Male,3,3-4hrs,Summarising notes,2,1,Sometimes,2,4,3,no
2025-01-16 04:12:00,Bamenda,Engineering,400L,Female,3,Less than 1hr,Assignments,5,1,Sometimes,2,1,4,yes
2025-01-16 04:59:00,Buea,Engineering,300L,Male,2,3-4hrs,Research,3,1,Never,3,4,4,no
2025-01-16 05:46:00,Yaounde,Law,300L,Male,1,3-4hrs,Exam prep,4,4,Never,5,1,2,yes
2025-01-16 06:33:00,Bamenda,Engineering,400L,Male,3,5hrs or more,Coding,4,1,Sometimes,3,2,1,no
2025-01-16 07:20:00,Buea,Social Sciences,300L,Male,3,3-4hrs,Assignments,5,2,Sometimes,5,3,5,not sure
2025-01-16 08:07:00,Bamenda,Engineering,400L,Female,2,5hrs or more,Assignments,5,3,Never,4,3,2,not sure
2025-01-16 08:54:00,Buea,Social Sciences,Masters,Male,3,3-4hrs,Coding,3,2,Sometimes,2,3,5,yes
2025-01-16 09:41:00,Other,Social Sciences,300L,Male,2,1-2hrs,Exam prep,5,1,Once or twice,1,3,5,no
2025-01-16 10:28:00,Buea,Engineering,200L,Male,3,3-4hrs,Assignments,2,4,Once or twice,2,5,4,no
2025-01-16 11:15:00,Yaounde,Sciences,300L,Male,1,3-4hrs,Summarising notes,4,1,Sometimes,4,4,2,not sure
2025-01-16 12:02:00,Bamenda,Engineering,Masters,Female,4 or more,3-4hrs,Research,4,4,Sometimes,2,1,4,not sure
2025-01-16 12:49:00,Bamenda,Engineering,200L,Male,2,1-2hrs,Exam prep,4,4,Once or twice,3,3,4,no
2025-01-16 13:36:00,Bamenda,Other,300L,Female,2,1-2hrs,Assignments,3,2,Often,3,5,3,no
2025-01-16 14:23:00,Buea,Sciences,300L,Female,1,5hrs or more,Assignments,5,3,Once or twice,4,3,3,not sure
2025-01-16 15:10:00,Other,Business,400L,Female,1,3-4hrs,Coding,2,2,Sometimes,2,2,2,yes
2025-01-16 15:57:00,Douala,Engineering,100L,Female,3,5hrs or more,Assignments,1,2,Once or twice,3,4,2,no
2025-01-16 16:44:00,Other,Law,400L,Male,2,3-4hrs,Summarising notes,4,4,Often,3,4,3,not sure
2025-01-16 17:31:00,Douala,Health,Masters,Male,4 or more,3-4hrs,Research,3,4,Often,3,4,3,no
2025-01-16 18:18:00,Yaounde,Social Sciences,200L,Male,0,3-4hrs,Research,5,2,Never,4,1,3,no
2025-01-16 19:05:00,Other,Sciences,200L,Female,2,5hrs or more,Research,3,3,Often,2,2,3,no
2025-01-16 19:52:00,Buea,Sciences,PhD,Female,2,3-4hrs,Summarising notes,2,5,Sometimes,4,4,3,no
2025-01-16 20:39:00,Buea,Sciences,200L,Male,0,3-4hrs,Assignments,5,5,Sometimes,4,2,4,no
2025-01-16 21:26:00,Buea,Other,400L,Female,1,1-2hrs,Summarising notes,4,3,Never,3,3,5,no
2025-01-16 22:13:00,Bamenda,Business,300L,Male,2,3-4hrs,Coding,2,2,Sometimes,4,4,2,no
2025-01-16 23:00:00,Bamenda,Other,200L,Female,2,3-4hrs,Coding,4,2,Often,3,3,3,no
2025-01-16 23:47:00,Buea,Engineering,400L,Male,2,1-2hrs,Assignments,4,5,Never,2,5,2,not sure
2025-01-17 00:34:00,Douala,Health,300L,Female,3,1-2hrs,Assignments,4,1,Often,4,5,4,yes
2025-01-17 01:21:00,Bamenda,Other,300L,Female,3,1-2hrs,Research,3,3,Never,3,4,4,no
2025-01-17 02:08:00,Buea,Engineering,200L,Male,0,1-2hrs,Research,5,2,Never,4,1,5,no
2025-01-17 02:55:00,Bamenda,Engineering,300L,Male,2,1-2hrs,Research,5,2,Once or twice,3,2,2,no
2025-01-17 03:42:00,Buea,Health,200L,Male,4 or more,3-4hrs,Coding,4,2,Once or twice,5,3,5,yes
2025-01-17 04:29:00,Douala,Social Sciences,200L,Male,3,5hrs or more,Assignments,2,5,Sometimes,4,2,1,no
2025-01-17 05:16:00,Buea,Business,PhD,Male,3,3-4hrs,Assignments,5,1,Never,1,5,4,not sure
2025-01-17 06:03:00,Other,Engineering,200L,Female,2,1-2hrs,Research,4,3,Often,3,2,1,no
2025-01-17 06:50:00,Douala,Health,300L,Female,3,Less than 1hr,Coding,4,1,Never,4,3,5,not sure
2025-01-17 07:37:00,Buea,Engineering,200L,Male,3,3-4hrs,Assignments,3,1,Never,4,3,3,not sure
2025-01-17 08:24:00,Buea,Engineering,400L,Male,3,1-2hrs,Coding,5,2,Never,3,4,4,yes
2025-01-17 09:11:00,Douala,Engineering,100L,Female,4 or more,5hrs or more,Research,4,3,Once or twice,5,2,4,yes
2025-01-17 09:58:00,Yaounde,Business,PhD,Female,1,3-4hrs,Exam prep,2,2,Often,2,3,2,not sure
2025-01-17 10:45:00,Yaounde,Law,300L,Male,0,5hrs or more,Exam prep,3,2,Sometimes,3,3,1,not sure
2025-01-17 11:32:00,Douala,Social Sciences,200L,Female,3,1-2hrs,Research,5,1,Sometimes,5,5,5,yes
2025-01-17 12:19:00,Buea,Sciences,100L,Male,4 or more,3-4hrs,Assignments,1,2,Never,5,1,3,yes
2025-01-17 13:06:00,Bamenda,Business,200L,Male,1,1-2hrs,Research,5,5,Once or twice,4,5,2,yes
2025-01-17 13:53:00,Buea,Sciences,300L,Male,2,5hrs or more,Assignments,4,5,Once or twice,5,5,3,not sure
2025-01-17 14:40:00,Douala,Business,200L,Male,0,3-4hrs,Coding,4,2,Once or twice,1,3,3,yes
2025-01-17 15:27:00,Yaounde,Sciences,400L,Male,2,1-2hrs,Coding,3,3,Never,5,4,1,no
2025-01-17 16:14:00,Bamenda,Sciences,300L,Female,3,1-2hrs,Coding,3,5,Sometimes,3,1,2,not sure
2025-01-17 17:01:00,Buea,Sciences,200L,Female,3,1-2hrs,Coding,5,1,Once or twice,2,5,1,yes
2025-01-17 17:48:00,Bamenda,Sciences,300L,Female,2,3-4hrs,Research,3,4,Sometimes,2,3,3,no
2025-01-17 18:35:00,Bamenda,Health,400L,Male,2,1-2hrs,Assignments,4,5,Once or twice,3,3,5,no
2025-01-17 19:22:00,Yaounde,Social Sciences,200L,Male,0,3-4hrs,Coding,3,1,Never,2,3,5,not sure
2025-01-17 20:09:00,Yaounde,Engineering,200L,Female,2,1-2hrs,Research,2,1,Sometimes,3,1,4,no
2025-01-17 20:56:00,Douala,Business,100L,Male,3,3-4hrs,Coding,1,5,Never,2,5,2,no
2025-01-17 21:43:00,Bamenda,Sciences,400L,Male,4 or more,5hrs or more,Research,4,3,Often,3,1,5,no
2025-01-17 22:30:00,Buea,Social Sciences,300L,Male,4 or more,5hrs or more,Assignments,5,1,Sometimes,4,4,3,yes
2025-01-17 23:17:00,Yaounde,Business,300L,Female,0,3-4hrs,Other,3,2,Never,3,3,2,yes
2025-01-18 00:04:00,Douala,Law,400L,Male,4 or more,1-2hrs,Assignments,3,2,Often,3,5,5,no
2025-01-18 00:51:00,Yaounde,Engineering,400L,Male,4 or more,Less than 1hr,Other,3,3,Once or twice,4,3,4,no
2025-01-18 01:38:00,Douala,Other,300L,Female,4 or more,3-4hrs,Other,4,3,Never,5,4,4,not sure
2025-01-18 02:25:00,Bamenda,Law,400L,Male,2,1-2hrs,Coding,3,5,Sometimes,4,3,4,not sure
2025-01-18 03:12:00,Bamenda,Sciences,200L,Male,2,3-4hrs,Coding,5,2,Never,3,4,2,no
2025-01-18 03:59:00,Bamenda,Engineering,100L,Male,2,Less than 1hr,Summarising notes,4,3,Sometimes,4,1,2,no
2025-01-18 04:46:00,Buea,Health,200L,Male,1,1-2hrs,Exam prep,4,3,Sometimes,2,2,4,no
2025-01-18 05:33:00,Buea,Law,100L,Female,2,Less than 1hr,Research,2,2,Often,2,2,2,not sure
2025-01-18 06:20:00,Buea,Social Sciences,300L,Male,2,5hrs or more,Summarising notes,5,1,Once or twice,3,4,3,no
2025-01-18 07:07:00,Yaounde,Business,Masters,Male,2,1-2hrs,Summarising notes,3,5,Once or twice,4,2,4,no
2025-01-18 07:54:00,Bamenda,Health,100L,Female,3,3-4hrs,Research,1,4,Sometimes,2,4,4,no
2025-01-18 08:41:00,Bamenda,Engineering,100L,Female,2,Less than 1hr,Research,4,2,Never,1,2,3,no
2025-01-18 09:28:00,Other,Sciences,300L,Female,1,3-4hrs,Research,4,3,Once or twice,2,5,4,no
2025-01-18 10:15:00,Buea,Engineering,Masters,Male,4 or more,1-2hrs,Summarising notes,3,2,Once or twice,5,5,4,no
2025-01-18 11:02:00,Bamenda,Health,200L,Male,4 or more,5hrs or more,Exam prep,3,3,Never,4,3,4,yes
2025-01-18 11:49:00,Douala,Engineering,300L,Female,4 or more,5hrs or more,Assignments,4,3,Once or twice,2,3,2,no
2025-01-18 12:36:00,Buea,Social Sciences,100L,Female,4 or more,1-2hrs,Exam prep,2,3,Often,3,3,2,yes
2025-01-18 13:23:00,Buea,Health,100L,Male,3,5hrs or more,Coding,5,5,Often,3,1,3,yes
2025-01-18 14:10:00,Buea,Business,PhD,Male,4 or more,5hrs or more,Coding,4,3,Never,4,3,2,no
2025-01-18 14:57:00,Buea,Sciences,PhD,Male,1,5hrs or more,Summarising notes,3,2,Never,2,4,2,yes
2025-01-18 15:44:00,Other,Business,100L,Female,2,5hrs or more,Coding,3,4,Never,5,4,2,no
2025-01-18 16:31:00,Douala,Engineering,Masters,Male,2,1-2hrs,Assignments,3,1,Often,3,5,3,no
2025-01-18 17:18:00,Yaounde,Business,300L,Male,1,3-4hrs,Coding,4,2,Never,4,3,5,no
2025-01-18 18:05:00,Douala,Engineering,400L,Male,1,Less than 1hr,Assignments,4,2,Sometimes,1,4,2,no
2025-01-18 18:52:00,Douala,Sciences,300L,Female,3,Less than 1hr,Exam prep,3,2,Never,3,3,4,yes
2025-01-18 19:39:00,Buea,Health,300L,Female,4 or more,5hrs or more,Other,4,4,Sometimes,3,3,4,yes
2025-01-18 20:26:00,Douala,Engineering,300L,Male,3,1-2hrs,Research,5,2,Once or twice,3,3,1,not sure
2025-01-18 21:13:00,Bamenda,Engineering,300L,Female,1,3-4hrs,Assignments,3,4,Sometimes,1,3,5,no
2025-01-18 22:00:00,Douala,Health,100L,Female,4 or more,5hrs or more,Coding,5,3,Never,4,3,3,no
2025-01-18 22:47:00,Douala,Health,100L,Male,3,5hrs or more,Research,3,2,Sometimes,2,4,3,yes
2025-01-18 23:34:00,Bamenda,Law,200L,Male,2,5hrs or more,Exam prep,1,4,Never,4,5,4,no
2025-01-19 00:21:00,Buea,Law,400L,Male,3,1-2hrs,Assignments,2,2,Sometimes,4,3,2,no
2025-01-19 01:08:00,Buea,Social Sciences,200L,Female,2,Less than 1hr,Assignments,3,2,Often,4,1,4,no
2025-01-19 01:55:00,Bamenda,Engineering,300L,Female,2,1-2hrs,Other,2,3,Never,4,3,1,no
2025-01-19 02:42:00,Douala,Sciences,PhD,Female,4 or more,1-2hrs,Coding,1,2,Often,4,4,4,yes
2025-01-19 03:29:00,Douala,Engineering,100L,Female,2,Less than 1hr,Exam prep,5,1,Once or twice,3,2,3,no
2025-01-19 04:16:00,Buea,Business,300L,Male,2,1-2hrs,Research,5,3,Never,4,4,4,not sure
2025-01-19 05:03:00,Bamenda,Social Sciences,300L,Female,4 or more,5hrs or more,Coding,4,3,Once or twice,3,5,2,not sure
2025-01-19 05:50:00,Bamenda,Sciences,400L,Male,3,3-4hrs,Summarising notes,2,2,Never,4,5,4,yes
2025-01-19 06:37:00,Buea,Sciences,200L,Male,1,1-2hrs,Summarising notes,2,5,Sometimes,4,2,4,no
2025-01-19 07:24:00,Buea,Other,400L,Female,1,3-4hrs,Coding,1,3,Sometimes,3,5,3,yes
2025-01-19 08:11:00,Bamenda,Engineering,400L,Female,0,1-2hrs,Summarising notes,4,4,Never,3,4,4,yes
2025-01-19 08:58:00,Other,Social Sciences,Masters,Male,3,Less than 1hr,Research,5,1,Once or twice,3,3,3,no
2025-01-19 09:45:00,Bamenda,Social Sciences,400L,Female,2,3-4hrs,Research,3,3,Sometimes,4,4,5,yes
2025-01-19 10:32:00,Bamenda,Law,300L,Female,1,3-4hrs,Coding,2,4,Often,5,5,3,no
2025-01-19 11:19:00,Yaounde,Engineering,300L,Male,4 or more,3-4hrs,Assignments,4,3,Once or twice,3,3,4,no
2025-01-19 12:06:00,Bamenda,Business,400L,Female,3,Less than 1hr,Coding,3,3,Often,4,3,4,yes
2025-01-19 12:53:00,Other,Other,300L,Male,2,5hrs or more,Assignments,3,2,Once or twice,5,3,3,yes
2025-01-19 13:40:00,Other,Social Sciences,100L,Male,3,3-4hrs,Summarising notes,4,1,Once or twice,1,4,2,not sure
2025-01-19 14:27:00,Buea,Law,Masters,Male,3,3-4hrs,Coding,4,2,Sometimes,2,2,3,yes
2025-01-19 15:14:00,Bamenda,Other,400L,Female,1,3-4hrs,Assignments,2,2,Once or twice,4,5,4,no
2025-01-19 16:01:00,Bamenda,Health,300L,Female,2,5hrs or more,Assignments,1,4,Once or twice,4,4,2,no
2025-01-19 16:48:00,Buea,Engineering,200L,Male,4 or more,3-4hrs,Assignments,5,2,Once or twice,5,4,3,no
2025-01-19 17:35:00,Buea,Social Sciences,300L,Male,2,3-4hrs,Summarising notes,3,5,Sometimes,3,2,4,no
2025-01-19 18:22:00,Yaounde,Law,200L,Female,3,5hrs or more,Exam prep,1,5,Sometimes,1,4,3,yes
2025-01-19 19:09:00,Bamenda,Sciences,300L,Male,2,3-4hrs,Assignments,2,2,Once or twice,3,2,4,yes
2025-01-19 19:56:00,Buea,Health,100L,Female,0,3-4hrs,Coding,1,2,Once or twice,2,1,2,yes
2025-01-19 20:43:00,Buea,Other,300L,Female,1,3-4hrs,Research,3,4,Once or twice,3,3,2,no
2025-01-19 21:30:00,Other,Other,PhD,Male,2,1-2hrs,Summarising notes,5,5,Once or twice,4,3,4,no
2025-01-19 22:17:00,Buea,Sciences,100L,Female,2,1-2hrs,Exam prep,3,2,Never,1,4,1,no
2025-01-19 23:04:00,Buea,Engineering,PhD,Male,0,3-4hrs,Research,3,2,Sometimes,4,2,2,yes
2025-01-19 23:51:00,Bamenda,Other,300L,Female,4 or more,5hrs or more,Summarising notes,4,3,Once or twice,3,3,5,no
2025-01-20 00:38:00,Other,Business,400L,Female,4 or more,5hrs or more,Assignments,4,3,Once or twice,4,2,3,no
2025-01-20 01:25:00,Buea,Engineering,400L,Female,4 or more,1-2hrs,Assignments,5,2,Never,1,5,5,not sure
2025-01-20 02:12:00,Yaounde,Other,300L,Male,4 or more,3-4hrs,Research,5,3,Never,3,4,5,no
2025-01-20 02:59:00,Douala,Business,400L,Female,2,1-2hrs,Assignments,1,1,Often,1,4,2,no
2025-01-20 03:46:00,Buea,Social Sciences,400L,Male,4 or more,5hrs or more,Coding,4,1,Once or twice,5,3,1,no
2025-01-20 04:33:00,Yaounde,Social Sciences,300L,Male,1,5hrs or more,Research,3,2,Never,4,2,4,not sure
2025-01-20 05:20:00,Bamenda,Sciences,200L,Male,4 or more,3-4hrs,Summarising notes,5,2,Once or twice,3,5,3,not sure
2025-01-20 06:07:00,Yaounde,Engineering,300L,Female,4 or more,5hrs or more,Assignments,3,2,Once or twice,2,3,2,no
2025-01-20 06:54:00,Yaounde,Sciences,400L,Male,3,3-4hrs,Research,5,2,Never,5,3,4,yes
2025-01-20 07:41:00,Bamenda,Business,400L,Female,4 or more,3-4hrs,Coding,4,2,Once or twice,3,4,1,no
2025-01-20 08:28:00,Buea,Engineering,400L,Female,3,Less than 1hr,Other,3,1,Once or twice,2,1,5,no
2025-01-20 09:15:00,Douala,Sciences,300L,Male,2,3-4hrs,Assignments,4,2,Once or twice,4,5,2,no
2025-01-20 10:02:00,Bamenda,Sciences,400L,Female,2,3-4hrs,Exam prep,5,5,Once or twice,5,4,2,no
2025-01-20 10:49:00,Buea,Social Sciences,100L,Male,3,3-4hrs,Summarising notes,5,2,Once or twice,1,3,2,yes
2025-01-20 11:36:00,Buea,Business,300L,Female,1,1-2hrs,Summarising notes,2,2,Often,2,1,5,no
2025-01-20 12:23:00,Yaounde,Sciences,100L,Female,3,5hrs or more,Summarising notes,4,3,Once or twice,5,2,4,not sure
2025-01-20 13:10:00,Yaounde,Sciences,200L,Male,4 or more,1-2hrs,Assignments,3,5,Never,2,5,4,no
2025-01-20 13:57:00,Buea,Health,200L,Female,1,3-4hrs,Assignments,1,2,Never,2,4,3,no
2025-01-20 14:44:00,Bamenda,Sciences,200L,Male,4 or more,3-4hrs,Summarising notes,3,3,Once or twice,4,3,3,no
2025-01-20 15:31:00,Buea,Engineering,400L,Male,4 or more,3-4hrs,Research,3,3,Sometimes,5,1,2,not sure
2025-01-20 16:18:00,Yaounde,Sciences,200L,Female,4 or more,3-4hrs,Exam prep,5,3,Never,3,4,3,not sure
2025-01-20 17:05:00,Buea,Engineering,300L,Male,4 or more,1-2hrs,Research,3,1,Sometimes,5,4,3,no
2025-01-20 17:52:00,Yaounde,Engineering,200L,Male,3,1-2hrs,Assignments,5,3,Never,4,3,4,no
2025-01-20 18:39:00,Bamenda,Social Sciences,200L,Male,4 or more,3-4hrs,Coding,1,1,Once or twice,1,3,2,not sure
2025-01-20 19:26:00,Other,Sciences,200L,Female,3,3-4hrs,Research,3,3,Sometimes,5,2,5,no
2025-01-20 20:13:00,Buea,Business,100L,Male,1,1-2hrs,Summarising notes,3,3,Once or twice,3,4,2,no
2025-01-20 21:00:00,Bamenda,Sciences,300L,Male,2,3-4hrs,Coding,3,1,Once or twice,3,5,5,not sure
2025-01-20 21:47:00,Buea,Social Sciences,300L,Female,3,3-4hrs,Exam prep,1,4,Never,3,2,1,yes
2025-01-20 22:34:00,Other,Law,300L,Female,2,3-4hrs,Coding,2,1,Sometimes,3,4,3,no
2025-01-20 23:21:00,Douala,Engineering,300L,Male,3,5hrs or more,Coding,4,4,Never,1,3,3,not sure
2025-01-21 00:08:00,Buea,Law,200L,Male,3,1-2hrs,Coding,3,2,Often,1,3,3,no
2025-01-21 00:55:00,Yaounde,Engineering,400L,Male,1,Less than 1hr,Exam prep,3,1,Never,3,3,3,no
2025-01-21 01:42:00,Douala,Other,300L,Male,3,5hrs or more,Research,3,1,Often,5,5,3,yes
2025-01-21 02:29:00,Yaounde,Engineering,300L,Male,3,3-4hrs,Assignments,5,5,Once or twice,4,3,3,no
2025-01-21 03:16:00,Bamenda,Sciences,100L,Female,2,3-4hrs,Research,5,1,Sometimes,5,4,4,no
2025-01-21 04:03:00,Buea,Engineering,200L,Female,0,5hrs or more,Assignments,3,1,Once or twice,3,3,4,yes
2025-01-21 04:50:00,Buea,Other,200L,Female,0,5hrs or more,Coding,3,2,Often,3,2,4,no
2025-01-21 05:37:00,Douala,Social Sciences,200L,Male,2,5hrs or more,Coding,2,3,Never,2,2,2,no
2025-01-21 06:24:00,Other,Social Sciences,300L,Female,4 or more,3-4hrs,Summarising notes,5,3,Never,2,4,4,no
2025-01-21 07:11:00,Yaounde,Engineering,300L,Male,2,3-4hrs,Assignments,1,1,Once or twice,3,2,3,no
2025-01-21 07:58:00,Bamenda,Health,300L,Female,3,1-2hrs,Coding,3,2,Never,4,4,3,not sure
2025-01-21 08:45:00,Bamenda,Engineering,400L,Female,2,1-2hrs,Research,3,2,Never,5,3,3,no
2025-01-21 09:32:00,Yaounde,Business,400L,Male,2,3-4hrs,Coding,3,1,Often,5,3,3,yes
2025-01-21 10:19:00,Douala,Engineering,400L,Female,4 or more,1-2hrs,Summarising notes,2,2,Often,2,3,2,yes
2025-01-21 11:06:00,Douala,Engineering,Masters,Male,3,5hrs or more,Research,4,3,Once or twice,5,3,2,no
2025-01-21 11:53:00,Douala,Engineering,100L,Female,1,3-4hrs,Assignments,2,1,Often,3,2,2,no
2025-01-21 12:40:00,Yaounde,Sciences,200L,Male,2,3-4hrs,Assignments,4,2,Once or twice,2,3,4,no
2025-01-21 13:27:00,Buea,Social Sciences,100L,Male,0,1-2hrs,Exam prep,2,2,Never,5,4,4,no
2025-01-21 14:14:00,Buea,Engineering,300L,Female,2,Less than 1hr,Exam prep,1,5,Sometimes,4,4,5,yes
2025-01-21 15:01:00,Douala,Health,Masters,Male,3,Less than 1hr,Coding,5,5,Sometimes,2,3,4,no
2025-01-21 15:48:00,Yaounde,Sciences,200L,Female,1,3-4hrs,Assignments,2,4,Often,3,3,1,no
2025-01-21 16:35:00,Buea,Social Sciences,Masters,Male,2,Less than 1hr,Research,5,2,Never,3,2,5,yes
2025-01-21 17:22:00,Buea,Sciences,100L,Female,2,3-4hrs,Coding,4,1,Sometimes,4,2,5,yes
2025-01-21 18:09:00,Yaounde,Sciences,Masters,Female,4 or more,5hrs or more,Coding,1,2,Never,3,1,3,yes
2025-01-21 18:56:00,Buea,Social Sciences,200L,Male,4 or more,5hrs or more,Assignments,5,2,Never,5,5,3,yes
2025-01-21 19:43:00,Buea,Engineering,100L,Male,0,3-4hrs,Assignments,3,3,Never,1,2,5,no
2025-01-21 20:30:00,Bamenda,Engineering,300L,Male,3,1-2hrs,Coding,5,4,Often,3,2,3,yes
2025-01-21 21:17:00,Yaounde,Business,200L,Male,2,5hrs or more,Research,2,4,Sometimes,3,3,5,no
2025-01-21 22:04:00,Yaounde,Other,200L,Male,2,5hrs or more,Research,5,4,Sometimes,3,2,1,yes
2025-01-21 22:51:00,Buea,Sciences,200L,Female,3,1-2hrs,Assignments,1,2,Once or twice,3,4,2,not sure
2025-01-21 23:38:00,Yaounde,Engineering,400L,Female,4 or more,3-4hrs,Summarising notes,4,3,Once or twice,4,1,3,not sure
2025-01-22 00:25:00,Buea,Law,300L,Female,4 or more,1-2hrs,Exam prep,4,2,Never,5,2,3,yes
2025-01-22 01:12:00,Bamenda,Sciences,200L,Female,3,5hrs or more,Other,5,1,Never,5,4,4,no
2025-01-22 01:59:00,Yaounde,Engineering,300L,Female,2,5hrs or more,Summarising notes,5,3,Once or twice,4,3,5,yes
2025-01-22 02:46:00,Yaounde,Engineering,400L,Female,4 or more,Less than 1hr,Summarising notes,5,1,Sometimes,5,4,3,no
2025-01-22 03:33:00,Douala,Health,200L,Male,2,5hrs or more,Assignments,5,2,Once or twice,3,4,1,yes
2025-01-22 04:20:00,Yaounde,Law,300L,Female,3,3-4hrs,Summarising notes,2,2,Never,4,3,4,no
2025-01-22 05:07:00,Yaounde,Engineering,100L,Female,2,5hrs or more,Research,3,3,Never,3,4,4,no
2025-01-22 05:54:00,Buea,Engineering,200L,Female,3,3-4hrs,Summarising notes,3,4,Never,3,2,2,not sure
2025-01-22 06:41:00,Bamenda,Engineering,400L,Male,2,5hrs or more,Research,3,2,Once or twice,3,4,3,yes
